AirQualityStation,date,type,area,no2,n
STA-PT03055,2019-01-01,industrial,urban,28.46086956521739,23
STA-PT03055,2019-01-02,industrial,urban,38.6375,24
STA-PT03055,2019-01-03,industrial,urban,24.375,24
STA-PT03055,2019-01-04,industrial,urban,18.370833333333334,24
STA-PT03055,2019-01-05,industrial,urban,25.004166666666666,24
STA-PT03055,2019-01-06,industrial,urban,36.175,24
STA-PT03055,2019-01-07,industrial,urban,42.225,24
STA-PT03055,2019-01-08,industrial,urban,43.625,24
STA-PT03055,2019-01-09,industrial,urban,50.49583333333334,24
STA-PT03055,2019-01-10,industrial,urban,27.245833333333334,24
STA-PT03055,2019-01-11,industrial,urban,17.341666666666665,24
STA-PT03055,2019-01-12,industrial,urban,21.895833333333332,24
STA-PT03055,2019-01-13,industrial,urban,27.858333333333334,24
STA-PT03055,2019-01-14,industrial,urban,47.358333333333334,24
STA-PT03055,2019-01-15,industrial,urban,36.175,24
STA-PT03055,2019-01-16,industrial,urban,34.6625,24
STA-PT03055,2019-01-17,industrial,urban,17.858333333333334,24
STA-PT03055,2019-01-18,industrial,urban,30.22083333333333,24
STA-PT03055,2019-01-19,industrial,urban,16.404166666666665,24
STA-PT03055,2019-01-20,industrial,urban,11.729166666666666,24
STA-PT03055,2019-01-21,industrial,urban,13.954166666666666,24
STA-PT03055,2019-01-22,industrial,urban,18.358333333333334,24
STA-PT03055,2019-01-23,industrial,urban,12.666666666666666,24
STA-PT03055,2019-01-24,industrial,urban,13.8125,24
STA-PT03055,2019-01-25,industrial,urban,29.691666666666666,24
STA-PT03055,2019-01-26,industrial,urban,28.641666666666666,24
STA-PT03055,2019-01-27,industrial,urban,14.325000000000001,24
STA-PT03055,2019-01-28,industrial,urban,17.7875,24
STA-PT03055,2019-01-29,industrial,urban,18.47083333333333,24
STA-PT03055,2019-01-30,industrial,urban,20.6375,24
STA-PT03055,2019-01-31,industrial,urban,11.841666666666667,24
STA-PT03055,2019-02-01,industrial,urban,10.541666666666666,24
STA-PT03055,2019-02-02,industrial,urban,11.666666666666666,24
STA-PT03055,2019-02-03,industrial,urban,14.0375,24
STA-PT03055,2019-02-04,industrial,urban,31.195833333333333,24
STA-PT03055,2019-02-05,industrial,urban,41.05416666666667,24
STA-PT03055,2019-02-06,industrial,urban,34.795833333333334,24
STA-PT03055,2019-02-07,industrial,urban,28.9375,24
STA-PT03055,2019-02-08,industrial,urban,37.520833333333336,24
STA-PT03055,2019-02-09,industrial,urban,25.704166666666666,24
STA-PT03055,2019-02-10,industrial,urban,12,24
STA-PT03055,2019-02-11,industrial,urban,18.204166666666666,24
STA-PT03055,2019-02-12,industrial,urban,30.54090909090909,22
STA-PT03055,2019-02-13,industrial,urban,31.84583333333333,24
STA-PT03055,2019-02-14,industrial,urban,20.129166666666666,24
STA-PT03055,2019-02-15,industrial,urban,14.916666666666666,24
STA-PT03055,2019-02-16,industrial,urban,20.170833333333334,24
STA-PT03055,2019-02-17,industrial,urban,25.40833333333333,24
STA-PT03055,2019-02-18,industrial,urban,10.983333333333333,24
STA-PT03055,2019-02-19,industrial,urban,17.325,24
STA-PT03055,2019-02-20,industrial,urban,29.6375,24
STA-PT03055,2019-02-21,industrial,urban,37.672222222222224,18
STA-PT03055,2019-02-22,industrial,urban,21.120833333333334,24
STA-PT03055,2019-02-23,industrial,urban,28.604166666666668,24
STA-PT03055,2019-02-24,industrial,urban,37.204166666666666,24
STA-PT03055,2019-02-25,industrial,urban,30.554166666666667,24
STA-PT03055,2019-02-26,industrial,urban,19.85,24
STA-PT03055,2019-02-27,industrial,urban,20.991666666666667,24
STA-PT03055,2019-02-28,industrial,urban,13.3125,24
STA-PT03055,2019-03-01,industrial,urban,12.125,24
STA-PT03055,2019-03-02,industrial,urban,13.475,24
STA-PT03055,2019-03-03,industrial,urban,14.966666666666667,24
STA-PT03055,2019-03-04,industrial,urban,17.420833333333334,24
STA-PT03055,2019-03-05,industrial,urban,6.929166666666666,24
STA-PT03055,2019-03-06,industrial,urban,11.183333333333334,24
STA-PT03055,2019-03-07,industrial,urban,20.479166666666668,24
STA-PT03055,2019-03-08,industrial,urban,9.95,24
STA-PT03055,2019-03-09,industrial,urban,12.620833333333334,24
STA-PT03055,2019-03-10,industrial,urban,10.820833333333333,24
STA-PT03055,2019-03-11,industrial,urban,14.783333333333333,24
STA-PT03055,2019-03-12,industrial,urban,18.591304347826085,23
STA-PT03055,2019-03-13,industrial,urban,13.441666666666666,24
STA-PT03055,2019-03-14,industrial,urban,12.904166666666667,24
STA-PT03055,2019-03-15,industrial,urban,28.441666666666666,24
STA-PT03055,2019-03-16,industrial,urban,27.845833333333335,24
STA-PT03055,2019-03-17,industrial,urban,9.904166666666667,24
STA-PT03055,2019-03-18,industrial,urban,14.241666666666667,24
STA-PT03055,2019-03-19,industrial,urban,16.529166666666665,24
STA-PT03055,2019-03-20,industrial,urban,11.5875,24
STA-PT03055,2019-03-21,industrial,urban,17.6625,24
STA-PT03055,2019-03-22,industrial,urban,18.183333333333334,24
STA-PT03055,2019-03-23,industrial,urban,10.383333333333333,24
STA-PT03055,2019-03-24,industrial,urban,9.595833333333333,24
STA-PT03055,2019-03-25,industrial,urban,14.441666666666666,24
STA-PT03055,2019-03-26,industrial,urban,11.720833333333333,24
STA-PT03055,2019-03-27,industrial,urban,13.420833333333333,24
STA-PT03055,2019-03-28,industrial,urban,16.533333333333335,24
STA-PT03055,2019-03-29,industrial,urban,22.025,24
STA-PT03055,2019-03-30,industrial,urban,28.891666666666666,24
STA-PT03055,2019-03-31,industrial,urban,14.275,24
STA-PT03055,2019-04-01,industrial,urban,15.770833333333334,24
STA-PT03055,2019-04-02,industrial,urban,22.291666666666668,24
STA-PT03055,2019-04-03,industrial,urban,8.983333333333333,24
STA-PT03055,2019-04-04,industrial,urban,10.75,24
STA-PT03055,2019-04-05,industrial,urban,10.983333333333334,24
STA-PT03055,2019-04-06,industrial,urban,8.691666666666666,24
STA-PT03055,2019-04-07,industrial,urban,8.175,24
STA-PT03055,2019-04-08,industrial,urban,19.845833333333335,24
STA-PT03055,2019-04-09,industrial,urban,10.4125,24
STA-PT03055,2019-04-10,industrial,urban,10.825,24
STA-PT03055,2019-04-11,industrial,urban,10.3875,24
STA-PT03055,2019-04-12,industrial,urban,18.745833333333334,24
